date,name,value,deaths
2020-05-27,United Kingdom,265227,37048
2020-01-15,India,0,0
2020-01-18,India,0,0
2020-01-22,India,0,0
2020-01-25,India,0,0
2020-01-29,India,0,0
2020-02-01,India,1,0
2020-02-05,India,3,0
2020-02-08,India,3,0
2020-02-12,India,3,0
2020-02-15,India,3,0
2020-02-19,India,3,0
2020-02-22,India,3,0
2020-02-26,India,3,0
2020-02-29,India,3,0
2020-03-04,India,6,0
2020-03-07,India,31,0
2020-03-11,India,50,0
2020-03-14,India,83,2
2020-03-18,India,137,3
2020-03-21,India,231,4
2020-03-25,India,562,9
2020-03-28,India,873,19
2020-04-01,India,1397,35
2020-04-04,India,2902,68
2020-04-08,India,5194,149
2020-04-11,India,7447,239
2020-04-15,India,11438,377
2020-04-18,India,14378,480
2020-04-22,India,19984,640
2020-04-25,India,24506,775
2020-04-29,India,31332,1007
2020-05-02,India,37336,1218
2020-05-06,India,49391,1694
2020-05-09,India,59662,1981
2020-05-13,India,74281,2415
2020-05-16,India,85940,2752
2020-05-20,India,106750,3303
2020-05-23,India,125101,3720
2020-05-27,India,151767,4337
2020-01-15,Iran,0,0
2020-01-18,Iran,0,0
2020-01-22,Iran,0,0
2020-01-25,Iran,0,0
2020-01-29,Iran,0,0
2020-02-01,Iran,0,0
2020-02-05,Iran,0,0
2020-02-08,Iran,0,0
2020-02-12,Iran,0,0
2020-02-15,Iran,0,0
2020-02-19,Iran,0,0
2020-02-22,Iran,18,4
2020-02-26,Iran,95,15
2020-02-29,Iran,388,34
2020-03-04,Iran,2336,77
2020-03-07,Iran,4747,124
2020-03-11,Iran,8042,291
2020-03-14,Iran,11364,514
2020-03-18,Iran,16169,988
2020-03-21,Iran,19644,1433
2020-03-25,Iran,24811,1934
2020-03-28,Iran,32332,2378
2020-04-01,Iran,44606,2898
2020-04-04,Iran,50468,3160
2020-04-08,Iran,62589,3872
2020-04-11,Iran,68192,4232
2020-04-15,Iran,74877,4683
2020-04-18,Iran,79494,4958
2020-04-22,Iran,84802,5297
2020-04-25,Iran,88194,5574
2020-04-29,Iran,92584,5877
2020-05-02,Iran,95646,6091
2020-05-06,Iran,99970,6340
2020-05-09,Iran,104691,6541
2020-05-13,Iran,110767,6733
2020-05-16,Iran,116635,6902
2020-05-20,Iran,124603,7119
2020-05-23,Iran,131652,7300
2020-05-27,Iran,139511,7508
2020-01-15,Italy,0,0
2020-01-18,Italy,0,0
2020-01-22,Italy,0,0
2020-01-25,Italy,0,0
2020-01-29,Italy,0,0
2020-02-01,Italy,3,0
2020-02-05,Italy,3,0
2020-02-08,Italy,3,0
2020-02-12,Italy,3,0
2020-02-15,Italy,3,0
2020-02-19,Italy,3,0
2020-02-22,Italy,17,0
2020-02-26,Italy,322,11
2020-02-29,Italy,888,21
2020-03-04,Italy,2502,80
2020-03-07,Italy,4636,197
2020-03-11,Italy,10149,631
2020-03-14,Italy,17660,1268
2020-03-18,Italy,31506,2505
2020-03-21,Italy,47021,4032
2020-03-25,Italy,69176,6820
2020-03-28,Italy,86498,9136
2020-04-01,Italy,105792,12430
2020-04-04,Italy,119827,14681
2020-04-08,Italy,135586,17129
2020-04-11,Italy,147577,18851
2020-04-15,Italy,162488,21069
2020-04-18,Italy,172434,22747
2020-04-22,Italy,183957,24648
2020-04-25,Italy,192994,25969
2020-04-29,Italy,201505,27359
2020-05-02,Italy,207428,28236
2020-05-06,Italy,213013,29315
2020-05-09,Italy,217185,30201
2020-05-13,Italy,221216,30911
2020-05-16,Italy,223885,31610
2020-05-20,Italy,226699,32169
2020-05-23,Italy,228658,32616
2020-05-27,Italy,230555,32955
2020-01-15,Japan,1,0
2020-01-18,Japan,1,0
2020-01-22,Japan,1,0
2020-01-25,Japan,2,0
2020-01-29,Japan,7,0
2020-02-01,Japan,15,0
2020-02-05,Japan,25,0
2020-02-08,Japan,25,0
2020-02-12,Japan,25,0
2020-02-15,Japan,38,1
2020-02-19,Japan,66,1
2020-02-22,Japan,105,1
2020-02-26,Japan,164,1
2020-02-29,Japan,230,3
2020-03-04,Japan,268,6
2020-03-07,Japan,408,6
2020-03-11,Japan,568,12
2020-03-14,Japan,737,21
2020-03-18,Japan,829,28
2020-03-21,Japan,1007,35
2020-03-25,Japan,1193,43
2020-03-28,Japan,1499,49
2020-04-01,Japan,1953,56
2020-04-04,Japan,2935,69
2020-04-08,Japan,3906,80
2020-04-11,Japan,5347,88
2020-04-15,Japan,8100,119
2020-04-18,Japan,9795,154
2020-04-22,Japan,11496,186
2020-04-25,Japan,12892,334
2020-04-29,Japan,13852,389
2020-05-02,Japan,14544,458
2020-05-06,Japan,15354,543
2020-05-09,Japan,15628,601
2020-05-13,Japan,16024,668
2020-05-16,Japan,16237,725
2020-05-20,Japan,16385,771
2020-05-23,Japan,16536,808
2020-05-27,Japan,16651,858
2020-01-15,South Korea,0,0
2020-01-18,South Korea,0,0
2020-01-22,South Korea,1,0
2020-01-25,South Korea,2,0
2020-01-29,South Korea,4,0
2020-02-01,South Korea,12,0
2020-02-05,South Korea,18,0
2020-02-08,South Korea,24,0
2020-02-12,South Korea,28,0
2020-02-15,South Korea,28,0
2020-02-19,South Korea,46,0
2020-02-22,South Korea,345,2
2020-02-26,South Korea,1146,11
2020-02-29,South Korea,2931,16
2020-03-04,South Korea,5328,32
2020-03-07,South Korea,6767,44
2020-03-11,South Korea,7755,60
2020-03-14,South Korea,8086,72
2020-03-18,South Korea,8413,86
2020-03-21,South Korea,8799,103
2020-03-25,South Korea,9137,126
2020-03-28,South Korea,9478,144
2020-04-01,South Korea,9786,163
2020-04-04,South Korea,10156,177
2020-04-08,South Korea,10384,200
2020-04-11,South Korea,10450,208
2020-04-15,South Korea,10591,225
2020-04-18,South Korea,10653,232
2020-04-22,South Korea,10694,238
2020-04-25,South Korea,10718,240
2020-04-29,South Korea,10761,246
2020-05-02,South Korea,10780,250
2020-05-06,South Korea,10806,255
2020-05-09,South Korea,10840,256
2020-05-13,South Korea,10962,259
2020-05-16,South Korea,11037,262
2020-05-20,South Korea,11110,263
2020-05-23,South Korea,11165,266
2020-05-27,South Korea,11265,269
2020-01-15,Russia,0,0
2020-01-18,Russia,0,0
2020-01-22,Russia,0,0
2020-01-25,Russia,0,0
2020-01-29,Russia,0,0
2020-02-01,Russia,2,0
2020-02-05,Russia,2,0
2020-02-08,Russia,2,0
2020-02-12,Russia,2,0
2020-02-15,Russia,2,0
2020-02-19,Russia,2,0
2020-02-22,Russia,2,0
2020-02-26,Russia,2,0
2020-02-29,Russia,2,0
2020-03-04,Russia,4,0
2020-03-07,Russia,10,0
2020-03-11,Russia,10,0
2020-03-14,Russia,45,0
2020-03-18,Russia,114,0
2020-03-21,Russia,253,0
2020-03-25,Russia,495,0
2020-03-28,Russia,1036,4
2020-04-01,Russia,2337,17
2020-04-04,Russia,4149,34
2020-04-08,Russia,7497,58
2020-04-11,Russia,11917,94
2020-04-15,Russia,21102,170
2020-04-18,Russia,32008,273
2020-04-22,Russia,52763,456
2020-04-25,Russia,68622,615
2020-04-29,Russia,93558,867
2020-05-02,Russia,114431,1169
2020-05-06,Russia,155370,1451
2020-05-09,Russia,187859,1723
2020-05-13,Russia,232243,2116
2020-05-16,Russia,262843,2418
2020-05-20,Russia,299941,2837
2020-05-23,Russia,326448,3249
2020-05-27,Russia,362342,3807
2020-01-15,Singapore,0,0
2020-01-18,Singapore,0,0
2020-01-22,Singapore,0,0
2020-01-25,Singapore,3,0
2020-01-29,Singapore,7,0
2020-02-01,Singapore,16,0
2020-02-05,Singapore,24,0
2020-02-08,Singapore,33,0
2020-02-12,Singapore,47,0
2020-02-15,Singapore,67,0
2020-02-19,Singapore,81,0
2020-02-22,Singapore,86,0
2020-02-26,Singapore,91,0
2020-02-29,Singapore,98,0
2020-03-04,Singapore,110,0
2020-03-07,Singapore,130,0
2020-03-11,Singapore,166,0
2020-03-14,Singapore,200,0
2020-03-18,Singapore,266,0
2020-03-21,Singapore,385,0
2020-03-25,Singapore,558,2
2020-03-28,Singapore,732,2
2020-04-01,Singapore,879,3
2020-04-04,Singapore,1114,5
2020-04-08,Singapore,1481,6
2020-04-11,Singapore,1909,6
2020-04-15,Singapore,3252,10
2020-04-18,Singapore,5050,11
2020-04-22,Singapore,9125,11
2020-04-25,Singapore,12075,12
2020-04-29,Singapore,14951,14
2020-05-02,Singapore,17101,16
2020-05-06,Singapore,19410,18
2020-05-09,Singapore,21707,20
2020-05-13,Singapore,24671,21
2020-05-16,Singapore,26891,21
2020-05-20,Singapore,28794,22
2020-05-23,Singapore,30426,23
2020-05-27,Singapore,32343,23
2020-01-15,United States,0,0
2020-01-18,United States,0,0
2020-01-22,United States,1,0
2020-01-25,United States,2,0
2020-01-29,United States,5,0
2020-02-01,United States,7,0
2020-02-05,United States,11,0
2020-02-08,United States,12,0
2020-02-12,United States,13,0
2020-02-15,United States,15,0
2020-02-19,United States,15,0
2020-02-22,United States,35,0
2020-02-26,United States,53,0
2020-02-29,United States,66,0
2020-03-04,United States,125,9
2020-03-07,United States,338,14
2020-03-11,United States,1025,28
2020-03-14,United States,2174,47
2020-03-18,United States,6427,108
2020-03-21,United States,19624,260
2020-03-25,United States,55231,801
2020-03-28,United States,104686,1707
2020-04-01,United States,189618,4079
2020-04-04,United States,277965,7157
2020-04-08,United States,398809,12895
2020-04-11,United States,501560,18777
2020-04-15,United States,609516,26057
2020-04-18,United States,702164,37054
2020-04-22,United States,825041,45063
2020-04-25,United States,890524,51017
2020-04-29,United States,1012583,58355
2020-05-02,United States,1103781,65068
2020-05-06,United States,1204475,71078
2020-05-09,United States,1283929,77180
2020-05-13,United States,1369964,82387
2020-05-16,United States,1443397,87568
2020-05-20,United States,1528568,91921
2020-05-23,United States,1601434,96007
2020-05-27,United States,1681212,98916
